TRADING SESSION ANALYSIS - NIFTY 50 (Local 5)
Generated,3/3/2026, 1:42:44 PM
Start Date,1/3/2022, 3:15:00 PM

PERFORMANCE SUMMARY
Total P&L,613476.80
Win Rate,42.9%
Winning Trades,147
Losing Trades,196
Avg Win,21861.49
Avg Loss,13266.14
Profit Factor,1.24

POSITION SUMMARY
ID,Direction,Entry Date/Time,Exit Date/Time,Entry Price,Exit Price,Qty,PnL,Duration (min),SL,Target,SL Hit,TP Hit,Trend Reversed,PnL at Reversal,Exit Reason,Category,LT Market,HT Market,Entry Pos,LLHH Pivot,Entry Sign,Align E(S),Align E(V),Align M(S),Align M(V),Notes,Screenshot (E),Screenshot (M)
pos-1772524337533-jet74hfeb,SHORT,22-12-2022 15:25:00,22-12-2022 15:40:00,18230.7,18158.95,333,23892.75,15.0,18260.7,18170.7,NO,NO,YES,-7336.35,TP,System,Range,Bear-Trend,gap-opposite,LH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772524285331-d0l012llb,SHORT,21-12-2022 20:15:00,21-12-2022 20:30:00,18263.85,18209.75,434,23479.40,15.0,18286.85,18217.85,NO,NO,YES,-7336.35,TP,System,Range,Bear-Trend,gap-opposite,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524219318-93ctbmrm4,SHORT,21-12-2022 17:30:00,21-12-2022 18:25:00,18350.25,18270.35,256,20454.40,55.0,18389.25,18272.25,NO,NO,YES,-7336.35,TP,System,Range,Range,on-MA,HH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772524196926-jno6t7gvo,SHORT,21-12-2022 16:50:00,21-12-2022 17:10:00,18352.65,18378.4,526,-13544.50,20.0,18371.65,18314.65,NO,NO,YES,-7336.35,SL,System,Bear-Trend,Bull-Trend,on-MA,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772523834189-buget7s1v,SHORT,20-12-2022 18:40:00,20-12-2022 19:25:00,18261,18279.55,303,-5620.65,45.0,18294,18195,NO,NO,YES,-7336.35,MANUAL,System,Bull-Trend,Bear-Trend,gap-opposite,HH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772523691687-elezf4dpb,SHORT,19-12-2022 19:30:00,19-12-2022 20:05:00,18357,18393.5,476,-17374.00,35.0,18378,18315,NO,NO,YES,-7336.35,SL,System,Range,Bull-Trend,gap-opposite,HH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772523540765-x0y7kfawg,SHORT,16-12-2022 20:20:00,16-12-2022 20:45:00,18271.7,18273.95,256,-576.00,25.0,18310.7,18193.7,NO,NO,YES,-7336.35,MANUAL,System,Bear-Trend,Bear-Trend,gap,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772523470554-1lrfdcixk,SHORT,16-12-2022 18:55:00,16-12-2022 19:30:00,18362.7,18310.25,416,21819.20,35.0,18386.7,18314.7,NO,NO,YES,-7336.35,TP,System,Range,Bear-Trend,on-MA,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772523285925-sc0o5xojo,SHORT,16-12-2022 16:10:00,16-12-2022 17:45:00,18312.025,18337.4,500,-12687.50,95.0,18343.2,18223.2,NO,NO,YES,-7336.35,MANUAL,System,Bear-Trend,Bear-Trend,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772523165899-6p7fgx9ud,SHORT,15-12-2022 19:10:00,15-12-2022 20:00:00,18518.75,18475.3,909,39496.05,50.0,18529.75,18496.75,NO,NO,YES,-7336.35,TP,System,Bear-Trend,Bear-Trend,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772522768909-ivon66pff,LONG,13-12-2022 18:25:00,13-12-2022 19:50:00,18587.9,18565.25,769,-17417.85,85.0,18574.9,18613.9,NO,NO,YES,-8881.95,SL,System,Bull-Reversal,Bull-Trend,gap,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772522702463-f9itfwn4s,SHORT,12-12-2022 19:15:00,12-12-2022 20:30:00,18451.65,18489.8,833,-31778.95,75.0,18463.65,18427.65,NO,NO,YES,-8881.95,SL,System,Bear-Trend,Bear-Trend,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772522564816-i8tsgoiss,SHORT,09-12-2022 15:20:00,09-12-2022 15:30:00,18616.05,18634.6,555,-10295.25,10.0,18634.05,18580.05,NO,NO,YES,-8881.95,SL,System,Bull-Trend,Bull-Trend,gap-opposite,LH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772522490079-xi0hdvr07,LONG,08-12-2022 20:10:00,08-12-2022 20:45:00,18601.3,18612.35,813,8983.65,35.0,18589.40611773759,18626.29549826856,NO,NO,YES,-8881.95,MANUAL,System,Bull-Trend,Bull-Trend,on-MA,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772522357516-2yi7we7hu,SHORT,08-12-2022 15:55:00,08-12-2022 19:00:00,18596.4,18593.3,555,1720.50,185.0,18614.4,18560.4,NO,NO,YES,1720.50,MANUAL,System,Bull-Trend,Range,gap-opposite,LH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772522280484-755xms733,LONG,07-12-2022 19:25:00,07-12-2022 19:35:00,18589.7,18574.8,769,-11458.10,10.0,18576.7,18615.7,NO,NO,YES,1720.50,SL,System,Range,Bear-Trend,gap-opposite,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772522216361-3c8i63r31,SHORT,07-12-2022 17:50:00,07-12-2022 18:25:00,18587.8,18595.05,833,-6039.25,35.0,18599.8,18563.8,NO,NO,YES,-8881.95,MANUAL,System,Bear-Reversal,Bear-Trend,on-MA,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772522151639-lrc4vhyur,LONG,07-12-2022 15:05:00,07-12-2022 16:15:00,18634.5,18614.05,671,-13721.95,70.0,18619.8388478007,18664.524717789023,NO,NO,YES,1720.50,SL,System,Bull-Trend,Bull-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772521939797-nyupn2dm2,SHORT,05-12-2022 17:20:00,05-12-2022 17:40:00,18640.7,18667.65,625,-16843.75,20.0,18656.7,18608.7,NO,NO,YES,-8881.95,SL,System,Bull-Trend,Bear-Trend,gap-opposite,LH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772521896944-t1xl0eiu0,SHORT,05-12-2022 15:40:00,05-12-2022 15:45:00,18596.8,18611.05,769,-10958.25,5.0,18609.8,18570.8,NO,NO,YES,-8881.95,SL,System,Bear-Trend,Bear-Trend,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772521808802-gf2ejjcnt,LONG,02-12-2022 19:05:00,02-12-2022 20:45:00,18673.5,18696.8,500,11650.00,100.0,18653.5,18713.5,NO,NO,YES,1720.50,TIME_OVER,System,Bull-Reversal,Bear-Trend,on-MA,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772521479727-yajy3vfbm,LONG,30-11-2022 18:25:00,30-11-2022 20:05:00,18655.55,18695.35,555,22089.00,100.0,18637.55,18691.55,NO,NO,YES,1720.50,TP,System,Bull-Trend,Bull-Trend,on-MA,HH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772521317011-4n356zn2a,LONG,29-11-2022 15:25:00,29-11-2022 18:00:00,18625.55,18668.05,476,20230.00,155.0,18604.55,18667.55,NO,NO,YES,1720.50,TP,System,Bull-Trend,Bull-Trend,gap,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772521249943-vr7iszucp,LONG,28-11-2022 19:45:00,28-11-2022 20:35:00,18584.9,18563.85,714,-15029.70,50.0,18570.9,18612.9,NO,NO,YES,1142.40,SL,System,Range,Bull-Trend,gap-opposite,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772521235267-unzkjswac,LONG,28-11-2022 19:25:00,28-11-2022 19:30:00,18606.35,18590.25,714,-11495.40,5.0,18592.35,18634.35,NO,NO,YES,1720.50,SL,System,Bull-Reversal,Bull-Trend,on-MA,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772521184089-1ke1fbfhl,LONG,28-11-2022 15:35:00,28-11-2022 16:35:00,18540.6,18566.95,769,20263.15,60.0,18527.6,18566.6,NO,NO,YES,1720.50,TP,System,Bull-Trend,Bull-Trend,gap,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772519054795-8gmni1vm5,LONG,25-11-2022 15:15:00,25-11-2022 20:45:00,18472.1,18510.9,344,13347.20,330.0,18388.698090548296,,NO,NO,YES,-3130.40,TIME_OVER,System,Bull-Trend,Bull-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772518929541-a2ckexslv,LONG,24-11-2022 17:05:00,24-11-2022 18:25:00,18369.2,18393.6,833,20325.20,80.0,18357.2,18393.2,NO,NO,YES,1720.50,TP,System,Bull-Trend,Bull-Trend,gap,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772518836856-mhxtaeemh,SHORT,23-11-2022 17:45:00,23-11-2022 18:45:00,18273.7,18280.5,1111,-7554.80,60.0,18282.7,18255.7,NO,NO,YES,-3130.40,MANUAL,System,Bull-Trend,Bull-Trend,gap-opposite,HH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772518773086-rygwh63jd,SHORT,23-11-2022 16:10:00,23-11-2022 17:20:00,18260.35,18275.85,666,-10323.00,70.0,18325.726664101578,18244.320353982308,NO,NO,YES,-3130.40,MANUAL,System,Range,Bull-Trend,on-MA,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772518483124-jvhjvpvaf,SHORT,18-11-2022 19:05:00,18-11-2022 20:30:00,18253.85,18303.95,454,-22745.40,85.0,18275.85,18209.85,NO,NO,YES,-1634.40,SL,System,Range,Bear-Trend,on-MA,HH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772518347998-vztt2lv87,SHORT,18-11-2022 17:55:00,18-11-2022 18:45:00,18240.8,18258.85,555,-10017.75,50.0,18258.8,18204.8,NO,NO,YES,-3130.40,SL,System,Bear-Trend,Bear-Trend,on-MA,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772518158352-q5465r5yi,LONG,16-11-2022 18:45:00,16-11-2022 19:05:00,18412.7,18433.25,1000,20550.00,20.0,18402.7,18432.7,NO,NO,YES,-1634.40,TP,System,Bull-Reversal,Bull-Trend,on-MA,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772518008120-1psqg02r8,SHORT,15-11-2022 17:15:00,15-11-2022 17:55:00,18300.55,18319.05,909,-16816.50,40.0,18311.55,18278.55,NO,NO,YES,-3130.40,SL,System,Bear-Trend,Bear-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772517802820-i23snmmt6,LONG,11-11-2022 17:45:00,11-11-2022 18:30:00,18332.25,18312.05,588,-11877.60,45.0,18315.25,18366.25,NO,NO,YES,-1634.40,SL,System,Bull-Trending-range,Bull-Trend,gap,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772517686454-zpaqt3dmw,SHORT,10-11-2022 19:25:00,10-11-2022 20:30:00,17998.6,18020.45,555,-12126.75,65.0,18016.6,17962.6,NO,NO,YES,-3130.40,SL,System,Range,Bear-Trend,on-MA,HH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772517550900-e18as8rfb,LONG,09-11-2022 19:35:00,09-11-2022 20:05:00,18201.5,18169.9,550,-17380.00,30.0,18183.373047325895,18237.916717968452,NO,NO,YES,-1634.40,SL,System,Bull-Reversal,Bull-Trend,on-MA,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772517133645-p6mkxhtls,SHORT,03-11-2022 17:35:00,03-11-2022 20:30:00,18035.4,18057.5,555,-12265.50,175.0,18053.4,17999.4,NO,NO,YES,-12265.50,SL,System,Bear-Trend,Bear-Trend,gap,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772517099480-zaoncs2sp,LONG,03-11-2022 15:40:00,03-11-2022 17:05:00,18081.3,18052.15,399,-11630.85,85.0,18056.76464024625,18131.858714890346,NO,NO,YES,-11630.85,SL,System,Range,Range,on-MA,LH-LL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772516979692-sl3w2zs5n,SHORT,02-11-2022 18:00:00,02-11-2022 20:45:00,18080.7,18081.7,526,-526.00,165.0,18099.7,18042.7,NO,YES,YES,-4602.50,TIME_OVER,System,Bear-Trend,Bear-Trend,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772516807803-y4nqdudg0,LONG,01-11-2022 19:45:00,01-11-2022 20:45:00,18117.8,18153.65,400,14340.00,60.0,18092.8,18167.8,NO,NO,YES,-4602.50,TIME_OVER,System,Range,Bull-Trend,on-MA,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772516774592-mrnwx4kb6,LONG,01-11-2022 18:15:00,01-11-2022 18:30:00,18124.9,18081.8,526,-22670.60,15.0,18105.9,18162.9,NO,NO,YES,-4602.50,SL,System,Bear-Trend,Bull-Trend,gap-opposite,LH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772516700345-b9ytkdty4,LONG,01-11-2022 16:10:00,01-11-2022 16:55:00,18167.95,18138.35,384,-11366.40,45.0,18141.95,18219.95,NO,NO,YES,-4602.50,SL,System,Bull-Trend,Bull-Trend,gap,HH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772516677510-r4jh5m0jw,SHORT,31-10-2022 19:45:00,31-10-2022 19:50:00,17956.35,17968.7,1000,-12350.00,5.0,17966.35,17936.35,NO,NO,YES,-11630.85,SL,System,Bear-Trend,Bull-Trend,on-MA,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772504762390-is5wkmw3r,LONG,28-10-2022 20:15:00,28-10-2022 20:45:00,17766.15,17790.25,636,15327.60,30.0,17751.575144286264,17798.68807233551,NO,YES,YES,-4602.50,MANUAL,System,Bull-Reversal,Range,on-MA,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772504699767-lvw9q2sk9,SHORT,28-10-2022 18:15:00,28-10-2022 19:55:00,17757.6,17755.5,434,911.40,100.0,17780.6,17711.6,NO,NO,YES,-11630.85,MANUAL,System,Bear-Trend,Range,on-MA,HH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772504632439-ia61uaj95,LONG,28-10-2022 16:30:00,28-10-2022 16:45:00,17799.65,17777.85,545,-11881.00,15.0,17782.30975375144,17837.256848787998,NO,NO,YES,-4602.50,SL,System,Bull-Trend,Bull-Trend,on-MA,LH-HL,Reverse-H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772504275978-14kiyfr6r,SHORT,25-10-2022 20:25:00,25-10-2022 20:40:00,17694.8,17651.7,584,25170.40,15.0,17710.996787225857,17659.639245863793,NO,NO,YES,-11630.85,TP,System,Range,Bull-Trend,on-MA,HH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772504198972-nxm5944f5,SHORT,25-10-2022 16:25:00,25-10-2022 19:35:00,17694.8,17712.8,588,-10584.00,190.0,17711.8,17660.8,NO,NO,YES,3998.40,SL,System,Bear-Reversal,Bull-Trend,gap,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772504046757-75weq6l5o,SHORT,21-10-2022 19:20:00,21-10-2022 19:35:00,17600.95,17556.05,646,29005.40,15.0,17616.71176537782,17570.293829376875,NO,NO,YES,-11630.85,TP,System,Bear-Trend,Range,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772503997504-og4bs59ay,LONG,21-10-2022 18:15:00,21-10-2022 19:05:00,17642.6,17613.9,555,-15928.50,50.0,17624.6,17678.6,NO,NO,YES,3998.40,SL,System,Bull-Reversal,Bull-Trend,on-MA,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772503935423-8oadcl2cj,LONG,21-10-2022 15:25:00,21-10-2022 17:10:00,17633.9,17668.15,588,20139.00,105.0,17616.9,17667.9,NO,NO,YES,3998.40,TP,System,Bull-Trend,Bull-Trend,gap,HH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772503830633-7yiza1tg8,LONG,20-10-2022 19:15:00,20-10-2022 20:00:00,17491.3,17520.2,717,20721.30,45.0,17477.430723355137,17519.218045402078,NO,NO,YES,3998.40,TP,System,Range,Range,gap-opposite,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772503682271-bj8inygvw,LONG,20-10-2022 18:10:00,20-10-2022 19:05:00,17505.2,17486.35,625,-11781.25,55.0,17489.2,17537.2,NO,NO,YES,3998.40,SL,System,Bull-Trend,Range,gap,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772503563499-vbhwielu6,SHORT,20-10-2022 15:55:00,20-10-2022 16:10:00,17473.55,17498.45,588,-14641.20,15.0,17490.55,17439.55,NO,NO,YES,-11630.85,SL,System,Bear-Reversal,Bear-Trend,on-MA,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772503473275-rd1ux13di,SHORT,19-10-2022 19:20:00,19-10-2022 19:40:00,17527.3,17546.45,913,-17483.95,20.0,17537.881705395826,17505.050078771175,NO,NO,YES,-11630.85,SL,System,Bear-Trend,Bear-Trend,on-MA,LH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772503432155-6y2l64eia,SHORT,19-10-2022 17:55:00,19-10-2022 18:30:00,17542.55,17506.3,588,21315.00,35.0,17559.55,17508.55,NO,NO,YES,-11630.85,TP,System,Bear-Trend,Bull-Trend,gap,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772503115367-c7v5nycci,LONG,17-10-2022 18:00:00,17-10-2022 20:45:00,17303.2,17319.35,227,3666.05,165.0,17259.2,17391.2,NO,NO,YES,3998.40,TIME_OVER,System,Bull-Reversal,Bull-Trend,gap,LH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772503023304-qhvvmty2i,SHORT,14-10-2022 19:20:00,14-10-2022 20:45:00,17268.3,17185.55,217,17956.75,85.0,17314.3,17176.3,NO,YES,YES,-11630.85,TIME_OVER,System,Bear-Reversal,Bull-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772502958947-cfnilx59p,SHORT,14-10-2022 15:05:00,14-10-2022 17:30:00,17287.5,17327.6,303,-12150.30,145.0,17320.5,17221.5,NO,NO,YES,-11630.85,SL,System,Bull-Trend,Bull-Trend,gap-opposite,HH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772502298542-6wreex5y1,SHORT,13-10-2022 18:35:00,13-10-2022 19:55:00,17010.95,17053.95,344,-14792.00,80.0,17039.95,16952.95,NO,NO,YES,-9546.00,SL,System,Bull-Trend,Bear-Trend,gap-opposite,HH-HL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772502211902-77n8bl6ay,SHORT,13-10-2022 16:20:00,13-10-2022 16:30:00,17016.75,17036,526,-10125.50,10.0,17035.75,16978.75,NO,NO,YES,-11630.85,SL,System,Bear-Trend,Bear-Trend,gap,LH-HL,None,Yes,Yes,Yes,Yes,"",,
pos-1772502187520-czv4rqv3u,SHORT,13-10-2022 15:25:00,13-10-2022 16:00:00,17053.4,17002.15,400,20500.00,35.0,17078.4,17003.4,NO,NO,YES,-11630.85,TP,System,Bear-Trend,Range,gap,LH-LL,None,Yes,Yes,Yes,Yes,"",,
pos-1772502076270-v5gl3hao5,LONG,12-10-2022 19:20:00,12-10-2022 20:45:00,17076.4,17122.3,344,15789.60,85.0,17047.4,17134.4,NO,NO,YES,-9546.00,TIME_OVER,System,Range,Bull-Trend,on-MA,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772502053735-idihillhr,LONG,12-10-2022 18:50:00,12-10-2022 18:55:00,17058.1,17039.7,588,-10819.20,5.0,17041.1,17092.1,NO,NO,YES,-9546.00,SL,System,Range,Range,gap-opposite,LH-LL,H3/L3,Yes,Yes,Yes,Yes,"",,
pos-1772501946556-sgtdpmlaz,LONG,12-10-2022 15:45:00,12-10-2022 16:15:00,17019.7,16972.45,322,-15214.50,30.0,16988.7,17081.7,NO,NO,YES,-9546.00,SL,System,Bear-Trend,Bear-Trend,gap-opposite,LH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772501866778-fnw19qnog,SHORT,11-10-2022 19:50:00,11-10-2022 20:25:00,17106.95,17021.1,277,23780.45,35.0,17142.95,17034.95,NO,NO,YES,-11630.85,TP,System,Bear-Trend,Bear-Trend,on-MA,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772500974097-xbqv55jmh,SHORT,06-10-2022 19:10:00,06-10-2022 19:40:00,17397.6,17356.35,500,20625.00,30.0,17417.6,17357.6,NO,NO,YES,-11630.85,TP,System,Bull-Trend,Bull-Trend,gap-opposite,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772500726869-nnjbd12op,LONG,04-10-2022 18:00:00,04-10-2022 20:40:00,17247.5,17273.75,357,9371.25,160.0,17202.4893035783,17287.648210850326,NO,YES,YES,-9546.00,TIME_OVER,System,Bull-Reversal,Bull-Trend,gap,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772470594970-tbml7m8ku,SHORT,03-10-2022 17:35:00,03-10-2022 19:05:00,17024.55,16984.6,588,23490.60,90.0,17041.55,16990.55,NO,NO,YES,-6291.60,TP,System,Bull-Trending-range,Range,gap-opposite,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772470549944-x3zvn3qm6,SHORT,03-10-2022 15:25:00,03-10-2022 16:50:00,16980.75,17040.45,204,-12178.80,85.0,17029.75,16882.75,NO,NO,YES,-11630.85,SL,System,Bear-Trend,Range,gap,LH-LL,None,Yes,Yes,Yes,Yes,"",,
pos-1772470519009-6iqr6wyzf,LONG,30-09-2022 19:35:00,30-09-2022 20:15:00,17154.6,17117.4,370,-13764.00,40.0,17127.6,17208.6,NO,NO,YES,-6291.60,SL,System,Bull-Trending-range,Bull-Trend,gap,HH-HL,Reverse-H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772470367217-ayuyzkl7m,SHORT,29-09-2022 19:50:00,29-09-2022 19:55:00,16815.3,16839.25,434,-10394.30,5.0,16838.3,16769.3,NO,NO,YES,-11630.85,SL,System,Bear-Trend,Bear-Trend,gap,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
